Ticker,Company Name,Year,Age(C1),DER(C2),Size(C3),Affiliation(C4),PIAC(C5),ROA(FP1),TOBIN'S Q(FP2),ROE(FP3),Asset Utilization(SCA1),VACA(IC1),VAHU(IC2),STVA(IC3),VAIC(IC4)
INDY,INDIKA ENERGY TBK. PT,2015,15,1.59,30.99,1,0.67,-0.02,0.63,-0.05,0.51,1.512,6.551,0.847,8.910
INDY,INDIKA ENERGY TBK. PT,2016,16,1.46,30.82,1,0.67,-0.04,0.74,-0.09,0.43,1.360,5.618,0.822,7.801
INDY,INDIKA ENERGY TBK. PT,2017,17,2.26,31.53,1,0.67,0.09,1.02,0.30,0.30,0.708,4.840,0.793,6.341
INDY,INDIKA ENERGY TBK. PT,2018,18,2.26,31.62,1,0.67,0.02,0.85,0.07,0.81,2.426,13.597,0.926,16.950
INDY,INDIKA ENERGY TBK. PT,2019,19,2.46,31.55,0,0.67,0.00,0.84,0.01,0.77,2.669,12.438,0.920,16.026
INDY,INDIKA ENERGY TBK. PT,2020,20,3.03,31.53,1,0.80,-0.03,0.94,-0.12,0.52,2.522,10.059,0.901,13.482
INDY,INDIKA ENERGY TBK. PT,2021,21,3.18,31.60,1,1.00,0.02,0.91,0.07,0.78,2.822,24.471,0.959,28.252
INDY,INDIKA ENERGY TBK. PT,2022,22,1.68,31.67,1,0.80,0.14,0.88,0.38,1.21,2.420,24.589,0.959,27.968
INPS,INDAH PRAKASA SENTOSA TBK. PT,2018,58,2.41,26.90,0,0.67,-0.02,3.47,-0.08,0.66,2.170,11.417,0.912,14.499
INPS,INDAH PRAKASA SENTOSA TBK. PT,2019,59,2.40,26.90,0,0.67,-0.01,6.20,-0.03,0.85,2.605,11.763,0.915,15.282
INPS,INDAH PRAKASA SENTOSA TBK. PT,2020,60,2.68,26.84,0,0.67,-0.04,6.31,-0.14,0.56,1.991,8.692,0.885,11.569
INPS,INDAH PRAKASA SENTOSA TBK. PT,2021,61,3.43,26.75,0,0.67,-0.08,6.31,-0.33,0.64,2.712,19.951,0.950,23.613
INPS,INDAH PRAKASA SENTOSA TBK. PT,2022,62,15.05,26.46,0,0.67,-0.24,3.41,-3.89,0.91,17.652,6.570,0.848,25.070
ITMA,SUMBER ENERGI ANDALAN TBK. PT,2012,26,0.02,26.51,0,0.67,0.44,0.21,0.45,0.06,0.035,9.669,0.897,10.601
ITMA,SUMBER ENERGI ANDALAN TBK. PT,2013,27,0.00,27.17,0,0.67,0.43,0.69,0.44,0.01,-0.013,-6.071,1.165,-4.919
ITMA,SUMBER ENERGI ANDALAN TBK. PT,2015,28,0.00,28.07,0,0.67,0.21,0.31,0.21,0.00,0.004,4.980,0.799,5.784
ITMA,SUMBER ENERGI ANDALAN TBK. PT,2016,29,0.00,28.02,0,0.67,0.18,0.48,0.18,0.00,0.004,4.103,0.756,4.863
ITMA,SUMBER ENERGI ANDALAN TBK. PT,2017,30,0.00,28.15,0,0.67,0.11,0.28,0.11,0.00,0.003,3.374,0.704,4.081
ITMA,SUMBER ENERGI ANDALAN TBK. PT,2018,31,0.00,28.32,0,0.67,0.08,0.30,0.08,0.00,0.003,2.710,0.631,3.344
ITMA,SUMBER ENERGI ANDALAN TBK. PT,2019,32,0.00,28.52,0,0.67,0.08,0.30,0.08,0.00,0.001,4.423,0.774,5.198
ITMA,SUMBER ENERGI ANDALAN TBK. PT,2020,33,0.00,28.45,0,0.67,0.08,0.23,0.08,0.00,0.000,4.036,0.752,4.788
ITMA,SUMBER ENERGI ANDALAN TBK. PT,2021,34,0.06,28.59,0,0.67,0.07,0.35,0.07,0.00,0.001,5.978,0.833,6.812
ITMA,SUMBER ENERGI ANDALAN TBK. PT,2022,35,0.05,28.87,0,0.67,0.14,0.28,0.15,0.00,-0.002,-16.439,1.061,-15.380
ITMG,INDO TAMBANGRAYA MEGAH TBK. PT,2012,25,0.49,30.27,1,0.67,0.29,3.60,0.43,1.64,1.917,40.685,0.975,43.578
